Stock	Entry Date	Entry Price	Exit Date	Exit Price	Profit %	Days In Trade	Result	Profit per trade
TGS	10/22/2020	$4.72	4/14/2021	$4.30	-8.97%	174	LOSS	-$4,262.92
TGS	5/7/2021	$4.62	10/20/2021	$5.96	29.00%	166	WIN	$13,775.00
TGS	1/7/2022	$4.52	2/23/2022	$5.83	29.00%	47	WIN	$13,775.00
TGS	5/10/2022	$5.81	6/17/2022	$5.15	-11.42%	38	LOSS	-$5,425.79
TGS	4/9/2025	$23.90	5/15/2025	$30.83	29.00%	36	WIN	$13,775.00
TGS	12/18/2025	$32.20	1/15/2026	$28.63	-11.10%	28	LOSS	-$5,270.58
TGS	3/18/2022	$5.80	4/14/2022	$7.48	29.00%	27	WIN	$13,775.00
TGS	10/18/2024	$20.85	11/14/2024	$26.90	29.00%	27	WIN	$13,775.00
TGS	10/2/2025	$20.76	10/27/2025	$28.87	39.07%	25	WIN	$18,556.12
TGS	8/5/2022	$5.83	8/29/2022	$7.52	29.00%	24	WIN	$13,775.00
TGS	11/5/2021	$5.29	11/24/2021	$4.62	-12.60%	19	LOSS	-$5,986.44
TGS	6/21/2022	$5.37	7/6/2022	$4.81	-10.43%	15	LOSS	-$4,952.56
TGS	9/9/2025	$22.24	9/18/2025	$20.15	-9.41%	9	LOSS	-$4,471.54
TGS	7/7/2022	$5.17	7/15/2022	$4.73	-8.59%	8	LOSS	-$4,078.94
TSLA	8/5/2024	$200.75	9/26/2024	$260.60	29.81%	52	WIN	$14,161.27
TSLA	6/17/2022	$224.60	7/29/2022	$289.73	29.00%	42	WIN	$13,775.00
TSLA	12/13/2023	$241.22	1/16/2024	$213.14	-11.64%	34	LOSS	-$5,529.63
TSLA	2/24/2022	$269.74	3/28/2022	$355.03	31.62%	32	WIN	$15,019.19
TSLA	10/23/2025	$446.83	11/14/2025	$386.58	-13.48%	22	LOSS	-$6,404.56
TSLA	7/24/2023	$272.38	8/14/2023	$237.35	-12.86%	21	LOSS	-$6,109.17
TSLA	1/21/2026	$435.16	2/5/2026	$391.93	-9.94%	15	LOSS	-$4,719.32
TSLA	10/19/2022	$208.28	10/20/2022	$203.41	-2.34%	1	LOSS	-$1,111.44
UUUU	5/17/2023	$6.08	9/13/2023	$7.84	29.00%	119	WIN	$13,775.00
UUUU	10/17/2023	$7.47	1/8/2024	$6.71	-10.23%	83	LOSS	-$4,857.34
UUUU	9/24/2020	$1.55	11/24/2020	$2.00	29.00%	61	WIN	$13,775.00
UUUU	2/26/2024	$6.45	4/22/2024	$5.58	-13.55%	56	LOSS	-$6,436.58
UUUU	12/31/2024	$5.24	2/21/2025	$4.72	-9.99%	52	LOSS	-$4,743.65
UUUU	1/19/2023	$6.55	3/9/2023	$5.94	-9.31%	49	LOSS	-$4,421.92
UUUU	6/26/2024	$5.88	8/1/2024	$5.18	-11.84%	36	LOSS	-$5,624.87
UUUU	8/19/2020	$1.71	9/23/2020	$1.56	-8.78%	35	LOSS	-$4,172.78
UUUU	4/6/2023	$5.11	5/10/2023	$6.65	30.14%	34	WIN	$14,315.07
UUUU	6/13/2025	$5.90	7/15/2025	$7.61	29.00%	32	WIN	$13,775.00
UUUU	9/21/2023	$8.00	10/16/2023	$7.19	-10.10%	25	LOSS	-$4,798.69
UUUU	1/29/2024	$7.29	2/14/2024	$6.57	-9.93%	16	LOSS	-$4,717.29
UUUU	5/28/2024	$6.76	6/5/2024	$6.09	-9.92%	8	LOSS	-$4,710.09
UUUU	8/20/2025	$8.72	8/26/2025	$11.54	32.34%	6	WIN	$15,361.24
